customerId|firstName|lastName|email|address|city|state|postalCode|countryCode|phone|createdTime
10000000-0000-0000-0000-000000000001|Aaron|Atkins|atkinsman@yahoo.com|101 Adams Lane|Anchorage|AK|99501|US|100-000-0001|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000002|Ben|Bailey|ben.bailey22@gmail.com|102 Bellevue Blvd|Baltimore|MD|21201|US|100-000-0002|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000003|Charles|Chardonnay|chardonnay.family@aol.com|103 Charity Court|Cincinatti|OH|45201|US|100-000-0003|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000004|Divya|Divani|divine.divya@gmail.com|104 Dilbert Drive|Detroit|MI|48201|US|100-000-0004|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000005|Evelyn|Esther|evelyn44@me.com|105 Echo Lane|El Paso|TX|79900|US|100-000-0005|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000006|Freddie|Flake|freddie.flake@comcast.net|106 Felicity Lane|Ft. Lauderdale|FL|33301|US|100-000-0006|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000007|Guillaume|Gadot|guillaume.golfer@live.com|107 George Court|Green Bay|WI|54301|US|100-000-0007|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000008|Hari|Hirendra|sunshine.hari@gmail.com|108 Harris Avenue|Honolulu|HI|96801|US|100-000-0008|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000009|Ian|Ireland|ian.ireland88@yahoo.com|109 Iowa Avenue|Indianapolis|IN|46201|US|100-000-0009|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000010|John|Jameson|scubaguy12@gmail.com|110 Joshua Avenue|Jefferson City|MO|65101|US|100-000-0010|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000011|Kim|Karlton|kim@karltonfamily.org|111 Karma Court|Key West|FL|33040|US|100-000-0011|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000012|Li|Liang|lliang@qwest.com|112 Leming Lane|Lafayette|LA|70598|US|100-000-0012|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000013|Maria|Manuel|netdragon@yahoo.com|113 Memphis Parkway|Meridian|MS|39301|US|100-000-0013|2017-04-01T00:00:00.00Z
